brand,product_name,parent_category,child_category,price,materials
Mexx,Long Puffer Jacket Black,Coats and jackets,,€189.99,100% Polyamide
Mexx,Andrea High Waist / Skinny Jeans,Andrea High Waist / Skinny Jeans,,€89.99,98% Cotton 2% Elastane
Mexx,Pants Cosmea Classic Tapered Black,Trousers,,€79.99,"52% Cotton, 45% Polyester, 3% Elastane"
Mexx,Top Gerbera Cream,Tops and shirts,,€54.99,"80% Viscose, 20% Polyamide"
C&A,Bouclé cardigan,Jumpers & Cardigans,Cardigans,"39,99 €",['78% Cotton | 18% Polyester | 4% Nylon']
C&A,Long cardigan,Jumpers & Cardigans,Cardigans,"25,99 €",['78% Viscose | 22% Nylon']
C&A,Mesh dress - floral,Dresses & Jumpsuits,Midi dresses,"25,99 €",['95% Polyester | 5% Elastane']
C&A,Technical joggers - 4 Way Stretch,Sportswear,Sports trousers,"25,99 €","['Main part: 77% Polyester | 23% Elastane', 'Pocket: 77% Polyester | 23% Elastane']"
C&A,Multipack of 2 - basic turtleneck top - ribbed,T-Shirts & Tops,Long-sleeved t-shirts,"25,99 €","['95% Cotton | 5% Elastane', '95% Cotton | 5% Elastane']"
C&A,Multipack of 2 - basic turtleneck top - ribbed,T-Shirts & Tops,Long-sleeved t-shirts,"25,99 €","['95% Cotton | 5% Elastane', '95% Cotton | 5% Elastane']"
C&A,Knitted dress,Dresses & Jumpsuits,Knitted dresses,"25,99 €",['40% Acrylic | 40% Viscose | 20% Nylon']
C&A,Pleated skirt,Skirts,A line skirts,"29,99 €",['44% Viscose | 28% Polyester | 28% Polyamide']
C&A,Jacket with hood - water-repellent,Young Fashion,Jackets,"29,99 €",['100% Nylon']
C&A,Quilted gilet,Jackets,Quilted jackets,"29,99 €",['100% Polyester']
C&A,Slim jeans - high waist - LYCRA®,Jeans,Petite jeans,"29,99 €",['78% Cotton | 20% Polyester | 2% Elastane (LYCRAÂ®)']
C&A,Long cardigan - ribbed,Jumpers & Cardigans,Cardigans,"29,99 €",['100% Acrylic']
C&A,Faux fur jacket with hood,Jackets,Lightweight jackets,"29,99 €",['100% Polyester']
C&A,Wide leg jeans - high waist,Jeans,Petite jeans,"29,99 €",['99% Cotton | 1% Elastane']
C&A,Jeans,Jeans,High waist jeans,"29,99 €",['100% Cotton']
C&A,Cloth trousers - high waist - slim fit,Trousers,High waisted trousers,"29,99 €",['54% Modal | 41% Polyester | 3% Viscose | 2% Elastane']
C&A,Jumper - ribbed,Jumpers & Cardigans,Jumpers,"29,99 €",['50% Viscose | 28% Polyester | 22% Nylon']
C&A,Multipack of 2 - basic long sleeve top,T-Shirts & Tops,Long-sleeved t-shirts,"29,99 €","['100% Cotton', '100% Cotton']"
C&A,Bootcut jeans - high waist,Jeans,Petite jeans,"29,99 €",['99% Cotton | 1% Elastane']
C&A,Loose flared jeans - mid-rise waist,Jeans,Flare Jeans,"29,99 €",['99% Cotton | 1% Elastane']
C&A,Wide leg jeans - high waist,Trousers,High waisted trousers,"29,99 €",['98% Cotton | 2% Elastane']
C&A,Jersey trousers - mid-rise waist - tapered fit,Trousers,Long trousers,"29,99 €",['68% Viscose | 27% Polyamide | 5% Elastane']
C&A,Jersey trousers - mid-rise waist - tapered fit,Trousers,Long trousers,"29,99 €",['68% Viscose | 27% Polyamide | 5% Elastane']
C&A,Jersey trousers - mid-rise waist - tapered fit,Trousers,Long trousers,"29,99 €",['68% Viscose | 27% Polyamide | 5% Elastane']
C&A,Knitted jumper - short sleeve,Jumpers & Cardigans,Jumpers,"29,99 €",['66% Polyester | 25% Acrylic | 6% Wool | 3% Elastane']
C&A,Cloth trousers with belt - high waist - wide leg,Trousers,High waisted trousers,"35,99 €","['58% Viscose | 34% Nylon | 8% Elastane', '100% Polyurethane']"
C&A,Cloth trousers with belt - high-rise waist - wide leg,Trousers,High waisted trousers,"35,99 €","['96% Polyester | 4% Elastane', '100% Polyurethane']"
C&A,Quilted jacket,Jackets,Lightweight jackets,"39,99 €",['100% Polyester']
